Pointid,Grid_code,Longitude,Latitude,Elevation
95,11,119.39231531380291,26.094036056642032,732
96,11,119.39249179655341,26.094036056642032,732
97,11,119.3921388310524,26.094142502984674,728
98,11,119.39231531380291,26.094142502984674,732
99,11,119.39249179655341,26.094142502984674,732
100,12,119.39266827930392,26.093929610299387,739
101,12,119.39284476205442,26.093929610299387,744
102,12,119.39302124480493,26.093929610299387,744
103,12,119.39266827930392,26.094036056642032,739
104,12,119.39284476205442,26.094036056642032,744
105,12,119.39302124480493,26.094036056642032,744
106,12,119.39266827930392,26.094142502984674,739
107,12,119.39284476205442,26.094142502984674,744
108,12,119.39302124480493,26.094142502984674,744
109,13,119.39319772755543,26.093929610299387,749
110,13,119.39337421030594,26.093929610299387,755
111,13,119.39355069305644,26.093929610299387,755
112,13,119.39319772755543,26.094036056642032,749
113,13,119.39337421030594,26.094036056642032,755
114,13,119.39355069305644,26.094036056642032,755
115,13,119.39319772755543,26.094142502984674,749
116,13,119.39337421030594,26.094142502984674,755
117,13,119.39355069305644,26.094142502984674,755
118,14,119.39372717580696,26.093929610299387,762
119,14,119.39390365855746,26.093929610299387,768
120,14,119.39408014130797,26.093929610299387,768
121,14,119.39372717580696,26.094036056642032,762
122,14,119.39390365855746,26.094036056642032,768
123,14,119.39408014130797,26.094036056642032,768
124,14,119.39372717580696,26.094142502984674,762
125,14,119.39390365855746,26.094142502984674,768
126,14,119.39408014130797,26.094142502984674,768
127,15,119.39055048629785,26.09424894932732,687
128,15,119.39072696904836,26.09424894932732,700
129,15,119.39090345179886,26.09424894932732,709
130,15,119.39055048629785,26.094355395669965,687
131,15,119.39072696904836,26.094355395669965,700
132,15,119.39090345179886,26.094355395669965,709
133,15,119.39055048629785,26.094461842012606,679
134,15,119.39072696904836,26.094461842012606,690
135,15,119.39090345179886,26.094461842012606,698
136,16,119.39107993454937,26.09424894932732,709
137,16,119.39125641729987,26.09424894932732,713
138,16,119.39143290005038,26.09424894932732,715
139,16,119.39107993454937,26.094355395669965,709
140,16,119.39125641729987,26.094355395669965,713
141,16,119.39143290005038,26.094355395669965,715
142,16,119.39107993454937,26.094461842012606,698
143,16,119.39125641729987,26.094461842012606,701
144,16,119.39143290005038,26.094461842012606,704
